dateTime,measure,value
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43218-level-1-i-15_min-m,0.570
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43214-level-stage-i-15_min-m,0.626
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48160-level-tidal_level-i-15_min-mAOD,3.014
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43162-level-stage-i-15_min-m,0.106
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/1080TH-level-stage-i-15_min-mASD,1.049
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2290TH-level-stage-i-15_min-mASD,0.459
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43231-level-stage-i-15_min-m,2.518
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5464-level-stage-i-15_min-mAOD,2.061
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49169-level-stage-i-15_min-m,0.156
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2290TH-level-downstage-i-15_min-mASD,0.386
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44208-level-groundwater-i-15_min-mAOD,69.895
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47142-level-stage-i-15_min-m,0.603
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/1790TH-level-stage-i-15_min-mASD,0.316
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5485-level-stage-i-15_min-mAOD,1.385
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5451-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48121-level-stage-i-15_min-m,0.440
2022-11-25T04:20:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E1550-level-stage-i-15_min-mASD,1.248
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/51110-level-stage-i-15_min-m,0.302
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5500-level-stage-i-15_min-mAOD,2.891
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48126-level-stage-i-15_min-m,0.623
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47175-level-1-i-15_min-m,0.395
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5462-level-stage-i-15_min-mAOD,1.186
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5092-flow--i-15_min-m3_s,0.315
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49182-level-stage-i-15_min-m,1.572
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/434313-level-stage-i-15_min-m,0.283
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44204-level-stage-i-15_min-m,0.424
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/1790TH-level-downstage-i-15_min-mASD,0.067
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/1080TH-flow--Mean-15_min-m3_s,8.725
2022-11-25T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43157-level-stage-i-15_min-m,-0.003
2022-11-25T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E21589-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.000
